# DEMO / TEST DATA - NOT RESEARCH DATA
timestamp,capture_date,source_ip,destination_ip,source_port,destination_port,protocol,packet_length,tcp_flags,Label,Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow IAT Mean,Flow IAT Std,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,Pkt Len Mean,Pkt Len Std,demo_status
2018-02-22T01:00:00,2018-02-22,10.0.0.1,10.0.0.20,40100,443,TCP,100,"SYN,ACK",Benign,443,1010,2,1,100,50,10.0,2.0,1,1,0,100.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:00,2018-02-22,10.0.0.2,10.0.0.30,40200,443,TCP,150,"SYN,ACK",Benign,443,1020,2,1,150,75,10.0,2.0,1,1,0,150.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:00,2018-02-22,10.0.0.3,10.0.0.40,40300,443,TCP,180,"SYN,ACK",Benign,443,1030,2,1,180,90,10.0,2.0,1,1,0,180.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:10,2018-02-22,10.0.0.1,10.0.0.20,40100,443,TCP,100,"SYN,ACK",Benign,443,1010,2,1,100,50,10.0,2.0,1,1,0,100.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:10,2018-02-22,10.0.0.2,10.0.0.30,40200,443,TCP,230,"SYN,ACK",Benign,443,1020,2,1,230,115,10.0,2.0,1,1,0,230.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:11,2018-02-22,10.0.0.2,10.0.0.31,40201,80,TCP,230,ACK,Benign,80,1021,2,1,230,115,10.0,2.0,0,1,0,230.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:10,2018-02-22,10.0.0.3,10.0.0.40,40300,443,TCP,180,"SYN,ACK",Benign,443,1030,2,1,180,90,10.0,2.0,1,1,0,180.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:20,2018-02-22,10.0.0.1,10.0.0.20,40100,443,TCP,100,"SYN,ACK",Benign,443,1010,2,1,100,50,10.0,2.0,1,1,0,100.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:20,2018-02-22,10.0.0.2,10.0.0.30,40200,443,TCP,310,"SYN,ACK",Benign,443,1020,2,1,310,155,10.0,2.0,1,1,0,310.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
2018-02-22T01:00:21,2018-02-22,10.0.0.2,10.0.0.31,40201,80,TCP,310,ACK,Benign,80,1021,2,1,310,155,10.0,2.0,0,1,0,310.0,1.0,DEMO / TEST DATA - NOT RESEARCH DATA
