flow_count,byte_sum,packet_sum,mean_duration,median_duration,mean_iat,iat_std,syn_flow_ratio,ack_flow_ratio,rst_flow_ratio,fwd_byte_share,fwd_packet_share,unique_destination_port_count,bytes_per_second,packets_per_second,packet_size_mean,packet_size_std,timestamp,capture_day
214,7876921.0,9689.0,17670220.43457944,9133.5,10162188.729825186,829216.7706098973,0.14018691588785046,0.5607476635514018,0.09813084112149532,0.009156750461252564,0.3964289400350913,68,787692.1,968.9,55.876592665102336,69.19828867900141,2018-02-22 01:00:00,2018-02-22
321,480613.0,3060.0,17943233.66043614,30140.0,4732949.607915495,1218289.2521335627,0.07165109034267912,0.26791277258566976,0.102803738317757,0.2787086491626319,0.5506535947712419,57,48061.3,306.0,75.75494916502025,114.47314207034891,2018-02-22 01:00:10,2018-02-22
353,533625.0,2802.0,13645047.85552408,1539.0,5029468.8062692005,840065.4099851171,0.1671388101983003,0.43626062322946174,0.07365439093484419,0.1760206137268681,0.5806566738044254,100,53362.5,280.2,62.989368875160345,87.5411664696592,2018-02-22 01:00:20,2018-02-22
291,360284.0,2363.0,15560219.728522336,41483.0,7086211.2830644,773655.1458339491,0.037800687285223365,0.3127147766323024,0.058419243986254296,0.24697460891963008,0.5569191705459162,55,36028.4,236.3,75.50493634335739,114.28663678816254,2018-02-22 01:00:30,2018-02-22
300,920031.0,2954.0,13750277.65,63438.5,5849268.818103114,927021.1445728327,0.01,0.2633333333333333,0.06,0.11969487984643996,0.502708192281652,59,92003.1,295.4,81.56975322341533,103.93795202243567,2018-02-22 01:00:40,2018-02-22
292,566981.0,2771.0,20267582.078767125,82133.0,7582455.711270096,1309643.717274077,0.0273972602739726,0.2328767123287671,0.07191780821917808,0.1653600385198093,0.5200288704438831,44,56698.1,277.1,84.61366094048117,121.72998462504282,2018-02-22 01:00:50,2018-02-22
144,143129.0,1174.0,21041174.138888888,1799710.0,14399112.161581641,588079.901647446,0.0,0.3680555555555556,0.16666666666666666,0.38099895898105907,0.5868824531516184,43,14312.9,117.4,60.93547009275556,100.75960562126319,2018-02-22 01:01:00,2018-02-22
136,113469.0,1014.0,11519422.301470589,2662.5,9637153.697286421,178633.6530186922,0.125,0.5441176470588235,0.19117647058823528,0.4469855202742599,0.6242603550295858,54,11346.9,101.4,50.99289633353897,88.69827682518235,2018-02-22 01:01:10,2018-02-22
334,596427.0,2981.0,20012953.874251496,9523.5,6233387.777390369,1349186.1463981466,0.017964071856287425,0.3323353293413174,0.0718562874251497,0.1950615917790442,0.5363971821536397,91,59642.7,298.1,69.91136037538563,100.84900559423215,2018-02-22 01:01:20,2018-02-22
700,9872679.0,15853.0,20614921.58,19999.0,4150349.971166121,1497590.9494730511,0.04285714285714286,0.24857142857142858,0.025714285714285714,0.030438749198672416,0.412918690468681,119,987267.9,1585.3,100.40642925657501,132.40609277942528,2018-02-22 01:01:30,2018-02-22
